url	local_path	size_label
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL10.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL10.bedgraph.gz	92.64KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL10.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL10.bedgraph.gz.tbi	75.95KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL105.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL105.bedgraph.gz	91.05KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL105.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL105.bedgraph.gz.tbi	75.97KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL107.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL107.bedgraph.gz	92.33KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL107.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL107.bedgraph.gz.tbi	75.95KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL108.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL108.bedgraph.gz	91.82KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL108.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL108.bedgraph.gz.tbi	75.95KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL109.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL109.bedgraph.gz	91.42KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL109.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL109.bedgraph.gz.tbi	75.93KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL11.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL11.bedgraph.gz	92.71KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL11.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL11.bedgraph.gz.tbi	75.97KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL110.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL110.bedgraph.gz	86.94KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL110.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL110.bedgraph.gz.tbi	75.80KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL112.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL112.bedgraph.gz	88.16KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL112.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL112.bedgraph.gz.tbi	75.83KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL114.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL114.bedgraph.gz	94.54KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL114.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL114.bedgraph.gz.tbi	76.00KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL116.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL116.bedgraph.gz	91.45KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL116.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL116.bedgraph.gz.tbi	75.97KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL12.bedgraph.gz	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL12.bedgraph.gz	94.14KB
https://ftp.cngb.org/pub/CNSA/data3/CNP0001565/zeamap/05_Epigenetics/DNA_Methylation/01_Regions/AMP_mCG_bed/CIMBL12.bedgraph.gz.tbi	maize_ZEAMAP/epigenome/dna_methylation/01_regions/AMP_mCG_bed/CIMBL12.bedgraph.gz.tbi	75.99KB
